JOBID,SUBMITTED_AT,RUNNING_AT,FINISHED_AT,WAIT_DURATION,RUN_DURATION
460,1283418199,1283418212,1283418940,13,728
462,1283419561,1283419562,1283419586,1,24
461,1283418299,1283418842,1283419831,543,989
464,1283420081,1283420087,1283420708,6,621
465,1283420587,1283420597,1283421463,10,866
466,1283423028,1283423042,1283423046,14,4
454,1283410566,1283410577,1283422786,11,12209
469,1283424107,1283424122,1283424127,15,5
453,1283410561,1283410562,1283424056,1,13494
468,1283423932,1283423942,1283427005,10,3063
467,1283423814,1283423822,1283428142,8,4320
471,1283431412,1283431427,1283431747,15,320
473,1283431789,1283431802,1283431807,13,5
470,1283431300,1283431307,1283432600,7,1293
474,1283431901,1283431907,1283432955,6,1048
472,1283431447,1283431457,1283433533,10,2076
477,1283434420,1283434427,1283434975,7,548
457,1283416649,1283416653,1283435001,4,18348
480,1283434962,1283434967,1283434984,5,17
482,1283435550,1283435552,1283435574,2,22
451,1283410538,1283410547,1283438732,9,28185
484,1283435558,1283438747,1283438762,3189,15
452,1283410541,1283410547,1283441223,6,30676
485,1283443546,1283443547,1283443563,1,16
463,1283419718,1283419727,1283480590,9,60863
478,1283434464,1283434472,1283480811,8,46339
476,1283433356,1283435028,1283498008,1672,62980
500,1283499814,1283499827,1283501834,13,2007
501,1283503415,1283503428,1283503434,13,6
504,1283503992,1283503997,1283504317,5,320
503,1283503965,1283503967,1283504338,2,371
509,1283504305,1283504372,1283504376,67,4
510,1283504339,1283504417,1283504421,78,4
506,1283504070,1283504072,1283504570,2,498
505,1283504033,1283504042,1283504578,9,536
507,1283504108,1283504342,1283504602,234,260
508,1283504152,1283504447,1283504823,295,376
512,1283504560,1283504613,1283505444,53,831
511,1283504499,1283504613,1283505649,114,1036
515,1283506605,1283506607,1283506611,2,4
517,1283506895,1283506907,1283506911,12,4
516,1283506672,1283506682,1283507219,10,537
514,1283506434,1283506442,1283507423,8,981
513,1283506356,1283506367,1283507789,11,1422
518,1283507213,1283507823,1283507836,610,13
520,1283508072,1283508077,1283508080,5,3
521,1283512713,1283512728,1283512734,15,6
502,1283503825,1283503832,1283513869,7,10037
423,1283353150,1283353158,1283525662,8,172504
524,1283518948,1283525823,1283525857,6875,34
523,1283518861,1283518863,1283532965,2,14102
479,1283434496,1283480853,1283535175,46357,54322
486,1283496646,1283535227,1283535228,38581,1
487,1283496650,1283535257,1283535258,38607,1
488,1283496653,1283535302,1283535303,38649,1
475,1283432260,1283432267,1283535334,7,103067
489,1283496657,1283535347,1283535348,38690,1
490,1283496660,1283535377,1283535378,38717,1
491,1283496663,1283535422,1283535423,38759,1
492,1283496667,1283535467,1283535468,38800,1
493,1283496673,1283535497,1283535498,38824,1
494,1283496676,1283535542,1283535543,38866,1
495,1283496679,1283535587,1283535588,38908,1
496,1283496682,1283535617,1283535618,38935,1
497,1283496687,1283535662,1283535663,38975,1
498,1283496691,1283535707,1283535708,39016,1
499,1283496695,1283535737,1283535738,39042,1
519,1283507599,1283507612,1283542538,13,34926
522,1283518270,1283518279,1283549385,9,31106
483,1283435554,1283435612,1283570904,58,135292
526,1283590591,1283590592,1283590629,1,37
525,1283590312,1283590323,1283590797,11,474
530,1283593126,1283593127,1283593133,1,6
532,1283593669,1283593682,1283595502,13,1820
531,1283593636,1283593637,1283595563,1,1926
87,1282809595,1282809602,1283597516,7,787914
528,1283593044,1283593052,1283606052,8,13000
533,1283595966,1283595977,1283608964,11,12987
155,1282893747,1282893752,1283630776,5,737024
455,1283410681,1283410682,1283632042,1,221360
527,1283590690,1283590699,1283651548,9,60849
534,1283682928,1283682932,1283684968,4,2036
536,1283684949,1283684957,1283684957,8,0
550,1283685242,1283685257,1283685268,15,11
535,1283682989,1283682992,1283685696,3,2704
552,1283693478,1283693492,1283693497,14,5
554,1283693505,1283693507,1283693512,2,5
553,1283693495,1283693507,1283693512,12,5
555,1283693522,1283693537,1283693542,15,5
557,1283694465,1283694468,1283694475,3,7
559,1283694489,1283694497,1283694502,8,5
556,1283694457,1283694468,1283694473,11,5
558,1283694480,1283694482,1283694487,2,5
560,1283699558,1283699567,1283699572,9,5
561,1283700821,1283700827,1283700832,6,5
562,1283701843,1283701847,1283709880,4,8033
565,1283768587,1283768597,1283768600,10,3
566,1283768698,1283768703,1283768710,5,7
563,1283703868,1283703872,1283777244,4,73372
564,1283706368,1283706377,1283789779,9,83402
569,1283853784,1283853798,1283853831,14,33
570,1283856407,1283856422,1283856502,15,80
571,1283856860,1283856873,1283858596,13,1723
573,1283857995,1283857997,1283858791,2,794
575,1283859225,1283859227,1283859301,2,74
574,1283858598,1283858612,1283863534,14,4922
567,1283851317,1283851322,1283869788,5,18466
416,1283336883,1283336897,1283889063,14,552166
82,1282809173,1282809182,1283906238,9,1097056
572,1283856920,1283856932,1283912823,12,55891
568,1283851527,1283851532,1283914800,5,63268
577,1283933002,1283933012,1283933640,10,628
580,1283947922,1283947937,1283948487,15,550
582,1283955821,1283955828,1283956062,7,234
583,1283959873,1283959878,1283959949,5,71
586,1283960621,1283960885,1283960940,264,55
588,1283961311,1283961321,1283961384,10,63
589,1283961624,1283961636,1283961854,12,218
590,1283961624,1283961636,1283961783,12,147
592,1283961624,1283961636,1283961713,12,77
591,1283961624,1283961636,1283961713,12,77
593,1283961869,1283961933,1283962031,64,98
594,1283962477,1283962488,1283962495,11,7
595,1283962811,1283962818,1283962825,7,7
596,1283963123,1283963133,1283963141,10,8
597,1283963581,1283963584,1283964075,3,491
598,1283963628,1283963643,1283964218,15,575
599,1283964538,1283964801,1283965266,263,465
578,1283934325,1283934332,1283995504,7,61172
362,1283159050,1283159057,1284006526,7,847469
537,1283685170,1283685182,1284033945,12,348763
579,1283934696,1283934707,1284038010,11,103303
613,1284038310,1284038313,1284038319,3,6
614,1284038519,1284038523,1284038530,4,7
615,1284038592,1284038599,1284038606,7,7
618,1284040912,1284040923,1284040927,11,4
619,1284040949,1284040953,1284040968,4,15
621,1284041280,1284041358,1284041365,78,7
622,1284041354,1284041358,1284041364,4,6
623,1284041431,1284041433,1284041440,2,7
624,1284041505,1284041508,1284041514,3,6
625,1284041818,1284041823,1284042071,5,248
626,1284041855,1284041867,1284042149,12,282
627,1284041970,1284041973,1284042248,3,275
628,1284042085,1284042153,1284042400,68,247
629,1284042123,1284042212,1284042496,89,284
630,1284042162,1284042303,1284042576,141,273
631,1284042200,1284042468,1284042715,268,247
632,1284042238,1284042572,1284042856,334,284
633,1284042313,1284042632,1284042906,319,274
634,1284042387,1284042798,1284043047,411,249
636,1284042463,1284042947,1284043217,484,270
635,1284042425,1284042932,1284043216,507,284
637,1284042501,1284043113,1284043360,612,247
638,1284042538,1284043262,1284043535,724,273
639,1284042576,1284043292,1284043577,716,285
640,1284042654,1284043428,1284043676,774,248
641,1284042732,1284043592,1284043867,860,275
642,1284042769,1284043652,1284043935,883,283
643,1284042807,1284043758,1284044005,951,247
644,1284042882,1284043907,1284044177,1025,270
645,1284042919,1284044012,1284044296,1093,284
646,1284042994,1284044073,1284044320,1079,247
647,1284043032,1284044222,1284044500,1190,278
649,1284043107,1284044388,1284044636,1281,248
648,1284043069,1284044372,1284044656,1303,284
650,1284043145,1284044552,1284044827,1407,275
651,1284043257,1284044718,1284044966,1461,248
652,1284043295,1284044732,1284045016,1437,284
653,1284043412,1284044867,1284045142,1455,275
654,1284043451,1284045033,1284045282,1582,249
657,1284043841,1284045348,1284045353,1507,5
655,1284043489,1284045092,1284045378,1603,286
656,1284043527,1284045182,1284045455,1655,273
612,1284034135,1284034142,1284050544,7,16402
620,1284041022,1284041028,1284053469,6,12441
538,1283685175,1284033962,1284114568,348787,80606
424,1283353602,1283353608,1284176058,6,822450
672,1284200054,1284200084,1284200137,30,53
673,1284200352,1284200357,1284200384,5,27
674,1284200754,1284200762,1284200768,8,6
675,1284201126,1284201137,1284201185,11,48
687,1284213289,1284213302,1284214689,13,1387
684,1284213281,1284213287,1284214824,6,1537
685,1284213284,1284213287,1284214840,3,1553
678,1284213265,1284213272,1284215218,7,1946
680,1284213270,1284213272,1284215519,2,2247
681,1284213273,1284213287,1284215539,14,2252
682,1284213276,1284213287,1284215691,11,2404
683,1284213279,1284213287,1284215729,8,2442
686,1284213286,1284213287,1284216149,1,2862
677,1284213263,1284213272,1284216792,9,3520
679,1284213268,1284213272,1284217064,4,3792
689,1284213311,1284213317,1284218395,6,5078
676,1284213259,1284213289,1284219016,30,5727
688,1284213291,1284213302,1284219558,11,6256
704,1284277608,1284277622,1284277629,14,7
698,1284277468,1284277472,1284278210,4,738
696,1284277462,1284277472,1284278617,10,1145
701,1284277478,1284277487,1284278873,9,1386
699,1284277472,1284277487,1284279029,15,1542
692,1284277449,1284277457,1284279402,8,1945
697,1284277465,1284277472,1284279845,7,2373
700,1284277475,1284277487,1284280388,12,2901
702,1284277484,1284277487,1284280430,3,2943
691,1284277446,1284277457,1284280991,11,3534
694,1284277456,1284277457,1284282093,1,4636
695,1284277459,1284277472,1284282209,13,4737
690,1284277443,1284277459,1284282553,16,5094
703,1284277488,1284277502,1284282664,14,5162
693,1284277453,1284277457,1284285505,4,8048
706,1284362087,1284362102,1284362102,15,0
714,1284362112,1284362117,1284362850,5,733
715,1284362115,1284362117,1284362853,2,736
